INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:04:57,185 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/applicationContext.xml]
INFO  [main] o.s.c.s.PropertySourcesPlaceholderConfigurer 2017-10-08 14:04:57,356 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.c.PropertyPlaceholderConfigurer 2017-10-08 14:04:57,360 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 14:04:57,442 - Initializing EhCache CacheManager
ERROR [main] o.j.p.p.s.JasyptPBEStringEncryptionServiceImpl 2017-10-08 14:04:57,527 - Encryption key at default value.  Change it in configuration.properties for improved security!
INFO  [main] o.s.b.f.config.PropertiesFactoryBean 2017-10-08 14:04:57,542 - Loading properties file from class path resource [configuration.properties]
INFO  [main] o.s.b.f.xml.XmlBeanDefinitionReader 2017-10-08 14:04:57,551 - Loading XML bean definitions from ServletContext resource [/WEB-INF/context/views.xml]
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:04:57,554 - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7768ec4e: startup date [Sun Oct 08 14:04:57 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.web.context.ContextLoader 2017-10-08 14:04:57,672 - Root WebApplicationContext: initialization completed in 572 ms
INFO  [net.sf.ehcache.CacheManager@4df25a79] net.sf.ehcache.util.UpdateChecker 2017-10-08 14:04:58,759 - This is the latest GA release.
INFO  [main] o.s.w.c.s.XmlWebApplicationContext 2017-10-08 14:05:01,886 - Closing Root WebApplicationContext: startup date [Sun Oct 08 14:04:57 BST 2017]; root of context hierarchy
INFO  [main] o.s.w.c.s.GenericWebApplicationContext 2017-10-08 14:05:01,886 - Closing org.springframework.web.context.support.GenericWebApplicationContext@7768ec4e: startup date [Sun Oct 08 14:04:57 BST 2017]; parent: Root WebApplicationContext
INFO  [main] o.s.c.e.EhCacheManagerFactoryBean 2017-10-08 14:05:01,886 - Shutting down EhCache CacheManager
